username,correlation,max
user_chwu04,0.7379730004741343,4.0
user_alvinliu,0.6927655769744139,16.0
user_nirsun77,0.6490127706088721,28.0
user_yri,0.6322527715441754,56.0
user_hyk1997,0.6136826483692281,12.0
user_zhangtao,0.6110500790804687,88.0
user_asd,0.5713161457668878,101.0
user_seungju,0.5515528405520298,2.0
user_shikim,0.5497786148237599,2.0
user_mosman,0.5497786148237599,4.0
user_zhao,0.5497786148237599,4.0
user_daleihao,0.5497786148237599,8.0
user_mkolathi,0.5497786148237598,12.0
user_enchao,0.5497786148237598,192.0
user_dmbhag01,0.5497786148237597,536.0
user_alpumutk,0.5468826471422463,6.0
user_sgkayast,0.5468826471422462,2.0
user_grieder,0.5468826471422462,2.0
user_rsadek,0.546882647142246,5.0
user_ldai8,0.544879020726967,384.0
user_gssethi,0.5379069015724941,128.0
user_delchini,0.5323219604400748,20.0
user_yohann,0.5316150218262443,4.0
user_aoyan,0.5291287312840489,20.0
user_millerk1,0.5279125036432555,8.0
user_jiaao,0.5225772339645701,15.0
user_schmittj,0.5152975802470422,6.0
user_krispin,0.4831738396208932,16.0
user_lztan,0.4739910430851102,200.0
user_bsiddani,0.46612897306616297,48.0
user_chenwjb,0.4623834283350079,9.0
JobID,-0.4605409899536127,37509576.0
user_pcline,0.44344104912804266,102.0
user_wkim94,0.4394127567246912,32.0
user_chtpku,0.4394127567246912,16.0
user_kibaekk,0.4394127567246912,2.0
user_dunepro,0.4285223350946778,8.0
user_trhille,0.42153132200725807,4.0
user_lmoore75,0.4083269372746201,40.0
user_acepero,0.40374394319396295,24.0
user_pasumart,0.40272858994022315,75.0
user_bowenliu,0.40056854357590616,20.0
user_frerichs,0.39960485921198374,12.0
user_azat,0.3965980128086551,116.0
user_chakra,0.3961607020982693,136.0
user_jll4,0.39581538660509935,512.0
user_xsongsio,0.39412575604935157,4.0
user_guangc,0.3896564978660428,20.0
user_alacour,0.3856547319317882,32.0
user_soumya35,0.38358525346080863,8.0
user_pyhuang,0.38230114238967805,5.0
user_yang560,0.3775341416296515,40.0
user_rqzhang,0.37149738105350033,28.0
user_djdougan,0.36419661739286285,512.0
user_wfshan,0.36329277866180343,4.0
user_daliasa,0.36123470404766533,18.0
user_tang31,0.3492713588512471,32.0
user_wenqing2,0.3442351048671343,16.0
user_prayash,0.34167130574387095,6.0
user_gm2,0.3364376270375278,20.0
user_colio,0.33490201796852104,16.0
user_aknpy2,0.33467257563084407,6.0
user_price07,0.32927626342561406,96.0
user_sbanik,0.32488755893602383,24.0
user_court_b,0.3108340724438024,4.0
user_ywang141,0.30193270158447216,36.0
