username,correlation,max
JobID,-0.5545087927391438,3106731.0
user_rzamora_med126_mde,-0.4519196202663209,192.0
concurrent_nodes_in_same_group,0.4282947527119325,7984.0
user_maxidalinger,-0.39649423737595846,70.0
user_rbrady,-0.3941819300874799,8.0
user_vsharma5,-0.3753102216808488,16.0
user_langx,-0.3724101741199224,6.0
user_pnathan6,-0.35830271206231357,512.0
user_pschoenh,-0.3483162112947534,160.0
user_mcamacho,-0.3478552315920821,92.0
user_wolf,0.3353262431368381,180.0
user_kjung,0.3353262431368381,80.0
user_lauraharbach,0.3353262431368381,2.0
user_eslaught,0.32747436694665094,384.0
user_jimyzhan,0.3204813538085611,120.0
user_eromero,-0.3112578698154411,5054.0
user_waidmann,-0.31088890120689605,18.0
user_mhawkins60,0.3064150720221626,2.0
user_hervedtx,0.2933181877686636,1518.0
user_acmetest,-0.29084893699205605,8.0
user_arnoldjr,-0.28648246618194695,185.0
total_concurrent_nodes,0.28568236568506844,9743.0
user_haoshen.yang,-0.28201292921670224,256.0
user_asharma,-0.28162042378013447,100.0
user_pdoak,-0.28162042378013435,1000.0
user_vie,-0.28162042378013424,581.0
user_dbollweg,-0.28162042378013413,120.0
user_yanfei,-0.27264684873809597,1184.0
user_lebars,-0.2668561023646326,100.0
user_abdulwahab,-0.2668561023646326,200.0
user_bagchi,-0.2668561023646326,501.0
user_nsaini,-0.2668561023646326,100.0
user_m4f,-0.2668561023646324,184.0
user_spoole,-0.2668561023646322,32.0
user_maha,-0.2668561023646322,128.0
user_sfilig,-0.2668561023646322,96.0
user_syeom,-0.2668561023646322,96.0
user_kartickr,-0.2643622505943638,45.0
user_tejasexpress,-0.2602336873178487,160.0
user_sbistany,-0.2567663021535558,10.0
user_mjseneca,-0.251705661646925,24.0
user_priebe,0.24714353150692986,360.0
user_thomasmalkus,-0.2467669927939351,60.0
user_sokyay,-0.2456435417300273,118.0
user_lehner,0.2432027517070261,512.0
user_lian7,0.2432027517070261,2.0
user_daludot,0.2432027517070261,256.0
user_cmaffo,-0.24262529881876754,3.0
user_micholas,-0.24262529881876752,2.0
user_adithyaraman95,-0.24262529881876752,64.0
user_scf2157,0.2389034135168865,8.0
user_kayahan,-0.23606749440450042,3072.0
user_mpw2,-0.229179629963643,240.0
user_sneopane,0.22614124126046592,3456.0
user_ghu4,-0.2255651619951709,2.0
user_naughton,-0.2255651619951709,2.0
user_nafinm,-0.2255651619951709,2.0
user_mrieth,-0.2232981092657234,64.0
user_irl1,0.2188625094201473,2000.0
user_ddv0,-0.21769675927243115,1120.0
user_mswu,-0.21662486329249664,64.0
user_adebus,-0.21662486329249664,16.0
user_skim53,-0.2152322916347349,164.0
user_morning,-0.21523229163473445,8.0
num_concurrent_jobs,-0.2148488646533269,258.0
user_wuda,-0.21399832493986717,1690.0
user_istabrak,0.21349847502460262,66.0
user_zhangp,-0.21121787496659242,11.0
user_jhammer,-0.21121787496659233,64.0
user_pinaster,0.21080949279447117,20.0
user_cosdis,-0.21029014769266827,180.0
user_margaridarosa,-0.20841755171261542,171.0
user_emin,0.2067859797178308,64.0
user_sonchac,-0.20643304260164058,32.0
user_rajan1,-0.2060737757469603,1728.0
user_lisayujingwei,-0.2041031127479936,600.0
user_etjohnson,0.20396176727640622,12.0
