app_name,run_time,job_id,runtime
AMG2023,2025-02-08_05-01-22,35587462,371.952952
AMG2023,2025-02-08_20-46-24,35616372,370.089718
AMG2023,2025-02-09_20-32-38,35646071,435.427863
AMG2023,2025-02-11_14-08-37,35707244,372.33947
AMG2023,2025-02-16_18-28-24,35921810,370.301885
AMG2023,2025-02-18_03-32-21,35952849,371.18226
AMG2023,2025-02-18_19-14-51,35992795,371.396634
AMG2023,2025-02-20_20-55-38,36051002,330.301283
AMG2023,2025-02-21_20-32-27,36083478,328.952594
AMG2023,2025-02-22_18-19-19,36103715,329.502154
AMG2023,2025-02-23_16-25-34,36161243,330.483792
AMG2023,2025-02-24_17-57-32,36211897,434.90378
AMG2023,2025-03-02_23-21-57,36421202,334.161448
AMG2023,2025-03-03_09-52-43,36425580,330.680528
AMG2023,2025-03-03_10-06-21,36430109,330.53913
AMG2023,2025-03-03_22-22-06,36440357,332.616447
AMG2023,2025-03-04_06-46-20,36454567,331.094312
AMG2023,2025-03-04_07-12-56,36465440,330.995247
AMG2023,2025-03-04_08-13-31,36472676,331.352674
AMG2023,2025-03-04_11-33-30,36484461,331.714121
AMG2023,2025-03-04_18-45-44,36499148,330.519113
AMG2023,2025-03-05_04-49-57,36509233,332.191218
AMG2023,2025-03-05_14-20-54,36522584,333.335995
AMG2023,2025-03-05_14-42-09,36535123,332.927394
AMG2023,2025-03-05_23-23-38,36554791,331.097762
AMG2023,2025-03-05_23-46-58,36572270,331.418879
AMG2023,2025-03-06_08-06-26,36582690,330.569551
AMG2023,2025-03-06_10-23-50,36594123,335.525255
AMG2023,2025-03-07_00-42-01,36613478,332.608095
AMG2023,2025-03-07_00-58-37,36623634,331.696547
AMG2023,2025-03-07_15-22-46,36631817,330.679373
AMG2023,2025-03-07_18-50-25,36644627,331.207409
AMG2023,2025-03-08_00-22-13,36661207,330.91125
AMG2023,2025-03-08_08-48-31,36669218,331.32937
AMG2023,2025-03-14_19-04-35,36868338,331.61195
AMG2023,2025-03-15_05-04-10,36873961,330.705932
AMG2023,2025-03-15_10-36-02,36878026,415.454964
AMG2023,2025-03-15_22-55-45,36886491,331.49337
AMG2023,2025-03-16_08-05-45,36901838,330.918455
AMG2023,2025-03-16_12-07-45,36914005,331.260711
AMG2023,2025-03-16_17-55-30,36928341,331.190185
AMG2023,2025-03-17_04-57-04,36942712,332.08767
AMG2023,2025-03-17_16-58-53,36957071,332.481731
AMG2023,2025-03-17_21-05-18,36967717,330.967505
AMG2023,2025-03-18_12-45-03,36975553,330.977834
AMG2023,2025-03-18_16-55-06,36979948,331.370717
AMG2023,2025-03-18_17-09-51,36992778,330.372178
AMG2023,2025-03-19_02-07-54,37004996,331.313683
AMG2023,2025-03-19_11-24-30,37010111,330.244769
AMG2023,2025-03-19_22-08-56,37025474,330.651405
AMG2023,2025-03-20_03-14-48,37036078,331.550358
AMG2023,2025-03-20_11-21-02,37044725,332.429003
AMG2023,2025-03-20_17-05-43,37056496,331.177265
AMG2023,2025-03-21_16-36-05,37069931,329.904
