AllGather,AllReduce,compute,mem,others,total_time
0.004907709,0.06488154,0.042369911,0.034650204000000004,0.031858299,0.178667663
0.005270044999999999,0.061442924999999995,0.042364119000000006,0.033540391999999995,0.03185349,0.174470971
0.0054988500000000004,0.054471382,0.04239989,0.030667239,0.031869258,0.164906619
0.005072186,0.059859219000000005,0.042379446,0.032967375,0.031857677,0.17213590299999998
0.013803518,0.10063345200000001,0.042380563,0.042907704000000005,0.031862352000000004,0.23158758899999998
0.00506013,0.056500667,0.042170237,0.032218606999999996,0.031618847,0.16756848799999996
0.004526507,0.060255084,0.04238288,0.032134518,0.031863293,0.171162282
0.005204659,0.08645531899999999,0.042380245000000004,0.040815899,0.031856504,0.206712626
0.004962579,0.06726187,0.042376725999999997,0.035369177,0.031860359,0.181830711
0.005126504,0.06353856100000001,0.042377968,0.034040047000000004,0.031858291999999996,0.176941372
0.006111048,0.21300509099999998,0.042412415,0.057228679,0.031883758,0.350640991
0.005180307,0.06896400400000001,0.042355838,0.036219595,0.031852523,0.18457226699999998
0.0068418689999999996,0.272800188,0.042368184999999996,0.083454562,0.031859074,0.437323878
0.007045019,0.06805655299999999,0.042368262000000004,0.032903817999999994,0.031855702,0.182229354
0.0053178850000000005,0.065290146,0.042368597,0.034960526,0.03186281,0.179799964
0.005146016999999999,0.084998932,0.042349203,0.039669628000000005,0.031839112,0.20400289199999996
0.006599315,0.063656926,0.042438416,0.034622455,0.031896549,0.179213661
0.006859382,0.079532395,0.042410871,0.035171295,0.031871077,0.19584502000000004
0.006924349000000001,0.063056696,0.042378396,0.034183434,0.031852497,0.178395372
0.007416473,0.070653313,0.042377609,0.03582678399999999,0.031856523,0.188130702
0.006681532,0.078032876,0.042381511000000004,0.038520422,0.031874543,0.197490884
0.007525088,0.24961913,0.042409362,0.065978057,0.031882916000000004,0.39741455299999995
0.005027655,0.136182288,0.042369375,0.04962238,0.031863788,0.26506548599999996
0.005584582,0.082519024,0.042367332,0.040059765,0.031846164,0.20237686700000002
0.005252254,0.09368030000000001,0.042366361,0.043074322,0.031840897,0.216214134
0.005199456,0.063320226,0.042359405,0.034213217,0.031859932,0.17695223600000004
0.004941200000000001,0.058445407000000005,0.04238486,0.032074967,0.031859773,0.16970620699999997
0.010751679,0.33452545899999997,0.042395384,0.082814985,0.031870355,0.502357862
0.005166577,0.06496498099999999,0.042365451,0.034757011,0.031838491999999996,0.179092512
0.0066910350000000006,0.287476108,0.042371668,0.085773179,0.031846966,0.45415895600000006
0.005137518,0.06507168099999999,0.042377319,0.03487052399999999,0.031860185,0.179317227
0.0057362409999999996,0.075284228,0.042373578,0.03710891699999999,0.031848134,0.19235109799999997
0.005132715,0.071734136,0.042408877000000005,0.03651788300000001,0.03187388,0.18766749100000005
0.00492808,0.080537339,0.042373804,0.038685039,0.031861723,0.19838598500000001
0.0053382740000000005,0.068307043,0.042391512,0.035745849999999996,0.031863085,0.183645764
0.0051585450000000005,0.06852138,0.042369686999999996,0.035443216,0.031852623999999996,0.183345452
0.005173612,0.08313905600000002,0.042365255000000004,0.039321933999999996,0.031857167,0.20185702400000002
0.005066717,0.070538832,0.042379229000000004,0.035272306999999996,0.031855063999999995,0.185112149
0.0057147199999999995,0.08737105099999999,0.04237399100000001,0.040109607,0.031848663,0.20741803199999997
0.005180885,0.08382637399999998,0.042367782,0.040203871,0.031852360999999996,0.20343127299999997
0.006470595,0.357275522,0.042382646,0.09054332299999998,0.031867425,0.5285395110000001
