counter,stat_type,pearson,pearson_p,spearman,spearman_p
atu_cache_evictions,max,0.05965978038242242,0.5636682459683274,-0.1955236028214867,0.05624829536524477
atu_cache_hit_base_page_size_0,max,-0.008642131326637952,0.9334002346172323,-0.15911557243624525,0.12150954913909841
atu_cache_hit_derivative1_page_size_0,max,-0.06914892778201011,0.503211543977201,0.14370591427021162,0.1624610711123047
lpe_net_match_priority_0,max,0.006025562514360932,0.9535372574032187,0.22906945198046663,0.024771201675591062
lpe_net_match_overflow_0,max,0.2635450010489645,0.009475188199403952,0.296825827455236,0.0033174772182437916
lpe_net_match_request_0,max,0.10537754083134017,0.30687176568122004,-0.018977211068909386,0.8543910090960841
lpe_rndzv_puts_0,max,-0.06925032845685544,0.5025842143820691,-0.11932919835500987,0.24685996374479233
lpe_rndzv_puts_offloaded_0,max,-0.06925032845685544,0.5025842143820691,-0.11932919835500987,0.24685996374479233
hni_rx_paused_0,max,0.29743308451334466,0.0032507619367196077,0.2998507867607162,0.0029969107037780543
hni_rx_paused_1,max,0.293420764800578,0.0037148069052972354,0.2711204557786218,0.0075429996598738195
hni_tx_paused_1,max,0.213815341018483,0.03645941387647519,0.2329625610417797,0.022360851650177545
parbs_tarb_pi_posted_pkts,max,-0.06921405013145251,0.5028086086140421,0.15226532826912642,0.13860743152978783
parbs_tarb_pi_posted_blocked_cnt,max,0.1504725874526052,0.1433696612488942,0.3389310906131308,0.0007304290057027265
parbs_tarb_pi_non_posted_pkts,max,-0.06922658365893995,0.5027310784375335,0.1481823114487249,0.1496319244933272
parbs_tarb_pi_non_posted_blocked_cnt,max,0.054010021752769276,0.6012264714079217,-0.015436787845903417,0.8813353764594875
pct_mst_hit_on_som,max,-0.048589234097853845,0.6382715671168105,-0.016397859754977644,0.8740064362988127
rh:nack_resource_busy,max,-0.05387290203996604,0.602151671822744,0.015958097883755417,0.8773586900193859
rh:nacks,max,-0.06188948191560999,0.5491583138636932,0.005208030145254365,0.9598355458932378
rh:nack_sequence_error,max,-0.061256086488361956,0.5532616820913054,0.003197195068594303,0.9753367650875895
rh:sct_timeouts,max,0.14017977547470817,0.17312834001232077,0.24816376495914158,0.014772336668115421
rh:spt_timeouts,max,0.06597106806512804,0.5230761730462348,0.24980634709259106,0.01410496537039826
rh:pkts_cancelled_o,max,0.14017977547470817,0.17312834001232077,0.24816376495914158,0.014772336668115421
hni_tx_paused_0,max,-0.01149445379405378,0.9114969656811015,-0.0007779051005703675,0.9939983376180505
rh:nack_no_target_trs,max,-0.049020278901678274,0.6352914743810834,-0.16475597045270174,0.10869008908778502
rh:sct_in_use,max,0.021924861485869286,0.8320833618852548,0.10436424225425378,0.3115724183246269
parbs_tarb_pi_non_posted_cong_rate,max,0.05400971782565141,0.6012285214248121,-0.015436787845903417,0.8813353764594875
parbs_tarb_pi_posted_cong_rate,max,0.15045775875226425,0.14340956067018437,0.3383342376559957,0.0007474120215794015
