counter,stat_type,pearson,pearson_p,spearman,spearman_p
atu_cache_evictions,max,0.17784226479145326,0.07373300342801048,-0.005264318550644328,0.9581206476755687
atu_cache_hit_base_page_size_0,max,0.032572544749893156,0.7451822320619198,0.22906853792175333,0.02056647531391498
atu_cache_hit_derivative1_page_size_0,max,-0.31929591419671544,0.0010714757570814558,0.01068130799373484,0.9151464415708879
lpe_net_match_priority_0,max,0.25411471750938824,0.0099588217057223,0.348536338499641,0.00033078584450616904
lpe_net_match_overflow_0,max,-0.12040555729431826,0.22803329368865058,-0.08631559900707375,0.3883506199137273
lpe_net_match_request_0,max,0.23883550302463535,0.01562806656683028,0.6415739803563452,3.721486705661421e-13
lpe_rndzv_puts_0,max,-0.04003845180195059,0.6894915566356,0.07022310140262003,0.48308819727602237
lpe_rndzv_puts_offloaded_0,max,-0.04003845180195059,0.6894915566356,0.07022310140262003,0.48308819727602237
hni_rx_paused_0,max,-0.08935344354372282,0.37180806163280283,-0.24546652266597305,0.012893153635940936
hni_rx_paused_1,max,-0.007136858716798616,0.9432455063925819,-0.03942867159360139,0.6939831864387972
hni_tx_paused_1,max,0.02432214128186913,0.8082765045913893,-0.11793543717592776,0.237787541788785
parbs_tarb_pi_posted_pkts,max,-0.32474609347687783,0.0008681773490521481,0.141435445657644,0.15620184185720298
parbs_tarb_pi_posted_blocked_cnt,max,-0.24637899408638925,0.012551550040201864,-0.21091766515315152,0.03334448573715452
parbs_tarb_pi_non_posted_pkts,max,-0.3405506717264237,0.00046125642784183645,-0.007786215514755359,0.9380914142317311
parbs_tarb_pi_non_posted_blocked_cnt,max,0.09538419395263746,0.34026740012551077,0.1079948657344318,0.27995705200144116
rh:sct_timeouts,max,-0.07776579434644951,0.43722137468066175,0.06698593469282958,0.5035344972622862
rh:spt_timeouts,max,-0.07797741566561639,0.4359711829222232,0.09675727339401356,0.3333294992038728
rh:nacks,max,0.009408371922827188,0.9252276086431593,0.117033372658718,0.24142101171111818
rh:pkts_cancelled_o,max,-0.10875971751958469,0.276545122518655,-0.03662829192155477,0.714744841593379
rh:sct_in_use,max,-0.046080977185189456,0.6455853387494617,-0.10451952278514277,0.2958139698906909
rh:nack_no_matching_conn,max,0.022799652417829712,0.8200685241407257,0.14362815011592717,0.14981813804806648
rh:nack_no_target_trs,max,-0.0023248664409059316,0.9814981986822476,0.11287406969255141,0.25867152576577884
rh:nack_sequence_error,max,-0.0023248664409059316,0.9814981986822476,0.11287406969255141,0.25867152576577884
rh:tct_timeouts,max,0.016468189126635384,0.8695092643255947,0.2200267665799619,0.0262778732903444
parbs_tarb_pi_non_posted_cong_rate,max,0.09837801495020485,0.3252567866981227,0.10883172840413682,0.27622533324514814
parbs_tarb_pi_posted_cong_rate,max,-0.22732158660736,0.02157835675830131,-0.2214576112094362,0.025292926953899543
