counter,stat_type,pearson,pearson_p,spearman,spearman_p
atu_cache_evictions,mean,0.2250155471725174,0.19373649037043938,0.09617622343535252,0.5825945158070006
atu_cache_hit_base_page_size_0,mean,0.2235749195689754,0.1966808469533135,0.04162012008313501,0.8123555337976355
atu_cache_hit_derivative1_page_size_0,mean,0.22441423088267876,0.19496168574682182,0.34814668015487266,0.040415620112245615
lpe_net_match_priority_0,mean,0.22273005392946166,0.19842204920370174,-0.14778997961813184,0.3968555281311493
lpe_net_match_overflow_0,mean,0.25250424527556126,0.14335328632546535,0.47947503203881897,0.003563544418305313
lpe_net_match_request_0,mean,0.2537221198434828,0.1413680610209962,0.4536030655006539,0.0062044915977264685
lpe_rndzv_puts_0,mean,0.22440504237403744,0.19498044947684132,0.16973957879600132,0.329648915946928
lpe_rndzv_puts_offloaded_0,mean,0.22440504237403744,0.19498044947684132,0.16973957879600132,0.329648915946928
hni_rx_paused_0,mean,0.24779867322493673,0.15121546818060372,0.3298675733616039,0.05296528989147496
hni_rx_paused_1,mean,0.23322451615900994,0.17754724419728043,0.3467405950169289,0.041286416599124236
hni_tx_paused_1,mean,0.24312223995610768,0.1593347680118164,0.38104907238275637,0.023920067938865742
parbs_tarb_pi_posted_pkts,mean,0.22441183619550392,0.19496657578363255,0.4789125979836414,0.00360840342300642
parbs_tarb_pi_posted_blocked_cnt,mean,0.22267449257409128,0.19853693228470698,0.17322968899467006,0.319653019442128
parbs_tarb_pi_non_posted_pkts,mean,0.2244352386549134,0.19491879080219063,0.15916883761523257,0.36108560286527214
parbs_tarb_pi_non_posted_blocked_cnt,mean,0.22830825706394578,0.18712307291977986,0.12204818997351752,0.4849008685571944
rh:sct_timeouts,mean,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
rh:spt_timeouts,mean,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
rh:nack_no_matching_conn,mean,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
rh:nacks,mean,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
parbs_tarb_pi_non_posted_cong_rate,mean,0.22828666044000145,0.18716592503744944,0.12036088780798503,0.49100291460266066
parbs_tarb_pi_posted_cong_rate,mean,0.22266767443719201,0.19855103320139328,0.17322968899467006,0.319653019442128
