,counter,pearson,pearson_p,spearman,spearman_p
0,atu_cache_evictions,-0.28882660547444167,0.0016644736942805255,-0.305440174990329,0.0008557128594722658
1,atu_cache_hit_base_page_size_0,0.5468947489751252,2.132392926794777e-10,0.524860646599777,1.4657371472009075e-09
2,atu_cache_hit_derivative1_page_size_0,-0.42288791129231024,2.254729887022457e-06,-0.3562910852266175,8.657088795620171e-05
3,lpe_net_match_priority_0,0.10587986552413635,0.2579733173392228,0.19980778841348557,0.03152165947984379
4,lpe_net_match_overflow_0,-0.5569675637699362,8.423637800613561e-11,-0.48957059931572683,2.445496862129599e-08
5,lpe_net_match_request_0,0.2640446194497189,0.004182463166365676,0.2800369046246108,0.002330005447391492
6,lpe_rndzv_puts_0,0.038589016676607316,0.6808755257387633,-0.06328945076106252,0.49971177031602165
7,lpe_rndzv_puts_offloaded_0,0.038589016676607316,0.6808755257387633,-0.06328945076106252,0.49971177031602165
8,hni_rx_paused_0,0.07148834645525048,0.44570726752373496,-0.07440894937146812,0.42729368654346533
9,hni_rx_paused_1,0.8192854438557595,2.631732109530454e-29,0.7226924999038943,5.2829393991526965e-20
10,hni_tx_paused_1,0.22610847279797586,0.014663504646204174,-0.03638180909545228,0.6982166320462306
11,parbs_tarb_pi_posted_pkts,0.09945967559954583,0.2881226316207121,0.23645869373005804,0.010603350430617628
12,parbs_tarb_pi_posted_blocked_cnt,-0.40621737764788485,6.057378509645591e-06,-0.559773959174259,6.466943591192778e-11
13,parbs_tarb_pi_non_posted_pkts,-0.49950786136142,1.1431253268239758e-08,-0.41909814323607425,2.8358912540109043e-06
14,parbs_tarb_pi_non_posted_blocked_cnt,-0.45566502978232976,2.750949977716668e-07,-0.5777726521354708,1.1175660284056697e-11
15,pct_mst_hit_on_som,0.5461288785026692,2.2855543656479164e-10,0.39825210137681877,9.53607545297801e-06
16,rh:nack_resource_busy,0.6560081451408588,1.320101964803738e-15,0.5148812609405499,3.356727365968431e-09
17,rh:nacks,0.3975674470922801,9.910025759097448e-06,0.480833290156927,4.679573576132676e-08
18,rh:nack_sequence_error,0.39209552999240516,1.3435833203072359e-05,0.4778089164456813,5.833709095717359e-08
19,rh:tct_timeouts,-0.03404072495057797,0.7167807986293869,0.016805491935100263,0.8578959709895984
20,parbs_tarb_pi_non_posted_cong_rate,-0.33701259833149527,0.00021623453878091852,-0.5081920578172452,5.763883967497958e-09
21,parbs_tarb_pi_posted_cong_rate,-0.5234276700843128,1.6536661237643571e-09,-0.6160688886326068,1.8265639315034716e-13
22,rh:sct_timeouts,-0.07201916919279545,0.4423277913345417,0.007465075449769273,0.9366097143329745
23,rh:spt_timeouts,-0.06020231776790904,0.5208994702893616,0.0500727723556402,0.593483472672821
24,pct_trs_rsp_nack_drops,-0.0749741704052294,0.4237813314113396,0.0031174687943404207,0.9735050299787961
25,rh:pkts_cancelled_o,-0.07625206967593441,0.415902027154312,-0.06600105826785058,0.4814807758342242
26,rh:nack_no_target_trs,0.12522970982707754,0.18042813385195497,0.3065302453369473,0.0008180326523601272
27,rh:sct_in_use,-0.031653851139975625,0.7358795401407843,0.024287326135079675,0.7957989478980132
28,rh:nack_no_matching_conn,-0.02886842201819936,0.7583719866933383,0.10038636773510642,0.2836318211136027
29,rh:connections_cancelled,-0.04105604290550983,0.6616886263707373,0.03977605229721523,0.6716171620290423
30,hni_tx_paused_0,0.05761673241060933,0.5389896808196802,0.12114042940037026,0.19519299475378551
