counter,stat_type,pearson,pearson_p,spearman,spearman_p
atu_cache_evictions,max,0.22585426845113996,0.19203659606313467,0.22272388585029007,0.1984348005272452
atu_cache_hit_base_page_size_0,max,0.22572157983760693,0.1923048264154564,0.12092332186316253,0.4889645386988998
atu_cache_hit_derivative1_page_size_0,max,0.22441035671679987,0.1949695969749031,0.3076514281820926,0.07219628239377557
lpe_net_match_priority_0,max,0.23156435618449978,0.18074113453598942,0.3009022195199626,0.07900730438320966
lpe_net_match_overflow_0,max,0.2604626617205245,0.1307434749087723,0.3312736584995476,0.051901308397931875
lpe_net_match_request_0,max,0.25340514124150304,0.14188280899827851,0.4552903676661864,0.0059917238458709506
lpe_rndzv_puts_0,max,0.2244050423740374,0.19498044947684132,0.16973957879600132,0.329648915946928
lpe_rndzv_puts_offloaded_0,max,0.22440485792647272,0.19498082614766607,0.17505103507480022,0.31451250319664587
hni_rx_paused_0,max,0.2683947958912835,0.11901103015121335,0.2668749591817238,0.1211957436923919
hni_rx_paused_1,max,0.2641931615831787,0.12512349389065522,0.28318554678187136,0.09926141472610162
hni_tx_paused_1,max,0.23178048652029726,0.1803230456906021,0.15241962895310257,0.3820629211715375
parbs_tarb_pi_posted_pkts,max,0.22440583126874328,0.19497883843599964,0.21372494096745007,0.21765094349903716
parbs_tarb_pi_posted_blocked_cnt,max,0.24103230534098138,0.16306325106016895,0.18447837009822005,0.2887392372106796
parbs_tarb_pi_non_posted_pkts,max,0.22437106728575484,0.19504984051738344,0.13751512649089878,0.43083842018590357
parbs_tarb_pi_non_posted_blocked_cnt,max,0.2563775735357597,0.13710945572398056,0.2620942697127151,0.12826293040302655
rh:sct_timeouts,max,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
rh:spt_timeouts,max,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
rh:nack_no_matching_conn,max,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
rh:nacks,max,0.21126419124561582,0.22312038866066952,0.23773246378396357,0.16907729753546308
parbs_tarb_pi_non_posted_cong_rate,max,0.2564300920218405,0.13702619335754065,0.2620942697127151,0.12826293040302655
parbs_tarb_pi_posted_cong_rate,max,0.24103138266148263,0.163064910871536,0.18447837009822005,0.2887392372106796
