,counter,pearson,pearson_p,spearman,spearman_p
0,rh:spt_timeouts,-0.051827167869242,0.5675507224227672,-0.0703122647593894,0.4377515294723434
1,atu_cache_evictions,0.0731206563023045,0.4196250267862115,0.07617938630999212,0.40038753186105325
2,atu_cache_hit_base_page_size_0,-0.013712149245833758,0.8798552532419036,0.24062942564909517,0.007100917349220237
3,atu_cache_hit_derivative1_page_size_0,0.0601865291791069,0.5066752786869931,0.5179921321793862,7.214507895023856e-10
4,lpe_net_match_priority_0,-0.011376932106704297,0.9001996484774875,-0.49982218669700446,3.420708267814874e-09
5,lpe_net_match_overflow_0,0.06018711399956807,0.5066711416583896,0.5179921321793862,7.214507895023856e-10
6,lpe_net_match_request_0,0.6567581192454074,1.2088826245827914e-16,0.1887465264415058,0.03578033892451176
7,lpe_rndzv_puts_0,,,,
8,lpe_rndzv_puts_offloaded_0,,,,
9,hni_rx_paused_0,-0.08891694005640878,0.32607217976784064,-0.5151471282454759,9.261400436720563e-10
10,hni_rx_paused_1,-0.04441274498755008,0.6242807808057643,-0.29711408339889844,0.0008051437752017234
11,hni_tx_paused_1,-0.06052059519113189,0.50431495004094,-0.24799370574350904,0.0054847462092678535
12,parbs_tarb_pi_posted_pkts,0.08273019829640266,0.36098932063582145,0.515524783634933,8.960566309852801e-10
13,parbs_tarb_pi_posted_blocked_cnt,0.06867144692359954,0.4485446622206415,0.35055861526357196,6.564305072988433e-05
14,parbs_tarb_pi_non_posted_pkts,0.07606069901082921,0.4011240954131549,-0.02745554681353265,0.7621240331385849
15,parbs_tarb_pi_non_posted_blocked_cnt,0.11575899012268907,0.2004426974412408,0.48766011014948857,9.224432885568082e-09
16,pct_trs_rsp_nack_drops,-0.009702364578707332,0.9148292311921751,0.04565487875451071,0.6146092305971049
17,pct_mst_hit_on_som,0.13678598745886403,0.12980082056124656,0.4696967958571946,3.726635830190675e-08
18,rh:nack_resource_busy,0.13678598745886403,0.12980082056124656,0.4696967958571946,3.726635830190675e-08
19,rh:nacks,0.10979827758964075,0.22476558132706087,0.5679792917507958,5.997976644194499e-12
20,rh:nack_sequence_error,0.10964661586200106,0.2254104833198401,0.5689436771598115,5.424849372464088e-12
21,parbs_tarb_pi_non_posted_cong_rate,0.11570705656668581,0.20064607345714636,0.48766011014948857,9.224432885568082e-09
22,parbs_tarb_pi_posted_cong_rate,0.06850064089479588,0.449676717249951,0.35024390243902437,6.671119227973394e-05
23,rh:nack_no_target_trs,0.04144285555274719,0.6476633401135004,-0.15992920228089916,0.0760137373248924
24,rh:sct_timeouts,-0.024141300774578375,0.7901295835081148,-0.023036740493217182,0.7995249423215015
25,rh:connections_cancelled,-0.020643499663143425,0.8199786698098608,-0.07429855186453341,0.41215407926959424
26,rh:pkts_cancelled_o,-0.04670116261756719,0.6065135599266513,-0.11189297821586347,0.2159913472323627
27,rh:sct_in_use,-0.001415674584358892,0.9875498074852801,-0.08788022300879636,0.33176683814966546
28,hni_tx_paused_0,-0.003581299381803125,0.9685109705439084,0.026091232808968842,0.7736176168627629
29,rh:tct_timeouts,-0.008406226372133986,0.9261725839081362,0.0599322110279538,0.5084759897747406
