Node,GPU,Time
nid002749,3,0.265124
nid002804,1,0.269949
nid002984,3,0.273392
nid003632,1,0.269097
nid002749,1,0.267661
nid003637,2,0.272848
nid002788,2,0.273016
nid003653,1,0.270096
nid002749,2,0.27338
nid003821,3,0.271947
nid002788,0,0.273459
nid003716,2,0.274595
nid003653,2,0.273965
nid002804,0,0.271317
nid002968,2,0.273387
nid003637,3,0.271603
nid002996,2,0.273373
nid003892,2,0.269346
nid002760,2,0.270347
nid003716,1,0.272168
nid003632,2,0.274687
nid002968,3,0.271617
nid002760,0,0.276682
nid003828,2,0.273162
nid002788,1,0.275281
nid002804,3,0.275415
nid002760,1,0.273452
nid003828,1,0.272192
nid003821,1,0.268308
nid002968,1,0.269313
nid003892,3,0.270573
nid002760,3,0.274316
nid002832,3,0.271134
nid002996,3,0.272135
nid002996,0,0.273737
nid002984,1,0.27049
nid003653,0,0.271144
nid002832,2,0.269952
nid002888,2,0.272603
nid003632,0,0.272367
nid002832,1,0.272215
nid003632,3,0.272158
nid002984,2,0.271794
nid003828,0,0.271585
nid003637,0,0.277289
nid003821,0,0.271515
nid002888,1,0.272705
nid002888,0,0.2737
nid003828,3,0.272458
nid002888,3,0.273906
nid002804,2,0.27534
nid003637,1,0.273908
nid003821,2,0.274444
nid002832,0,0.274521
nid003716,0,0.27636
nid003525,1,0.267121
nid003532,1,0.268205
nid004029,3,0.269299
nid003525,0,0.266988
nid003529,0,0.270093
nid003368,1,0.269346
nid003369,3,0.267812
nid004032,0,0.267884
nid004033,1,0.270112
nid004029,2,0.271851
nid003532,2,0.270686
nid003528,0,0.270745
nid003528,1,0.26761
nid003368,3,0.271676
nid003524,1,0.270567
nid003364,1,0.271963
nid003529,1,0.270838
nid003369,2,0.267716
nid003372,3,0.270238
nid003528,3,0.272746
nid004029,0,0.272833
nid003368,2,0.273882
nid004032,1,0.272276
nid003369,0,0.273126
nid003361,2,0.272046
nid004029,1,0.276389
nid003364,2,0.274067
nid003364,3,0.275147
nid004032,2,0.270682
nid004033,0,0.271047
nid003532,3,0.269348
nid003529,3,0.271483
nid003365,2,0.269083
nid003364,0,0.275993
nid004036,3,0.272563
nid003525,3,0.270104
nid003361,0,0.275403
nid004036,2,0.273344
nid003365,3,0.269925
nid003528,2,0.270702
nid004033,3,0.275068
nid004032,3,0.272382
nid003365,1,0.270165
nid003533,2,0.272705
nid004036,0,0.271007
nid003372,2,0.271481
nid003369,1,0.273883
nid003365,0,0.271458
nid003525,2,0.272537
nid003524,0,0.27689
nid004036,1,0.272275
nid003361,1,0.272913
nid003524,3,0.272398
nid003372,0,0.272375
nid003361,3,0.274051
nid003533,1,0.271321
nid003529,2,0.273065
nid003524,2,0.273564
nid003532,0,0.274708
nid003372,1,0.273969
nid003533,3,0.273057
nid004033,2,0.277751
nid003368,0,0.276717
nid003533,0,0.27521
nid003805,3,0.26734
nid003808,1,0.270328
nid001900,1,0.270909
nid002548,3,0.270187
nid002548,2,0.271864
nid002225,3,0.265911
nid001892,3,0.273178
nid002225,1,0.271221
nid001904,0,0.271156
nid002225,0,0.271442
nid001904,2,0.271694
nid001900,2,0.271241
nid001808,1,0.272757
nid003808,3,0.27293
nid001740,2,0.269877
nid001892,1,0.275607
nid001904,3,0.267238
nid001924,3,0.273454
nid001812,0,0.274888
nid001925,2,0.267827
nid001924,0,0.270265
nid001892,0,0.27006
nid001925,1,0.268632
nid001924,1,0.274864
nid003808,0,0.273208
nid002549,0,0.27317
nid001740,3,0.272067
nid002548,1,0.269138
nid001808,0,0.276021
nid003805,2,0.27333
nid001924,2,0.272695
nid001812,3,0.273033
nid002549,1,0.270025
nid003805,0,0.272926
nid002549,2,0.275994
nid001812,1,0.27331
nid002548,0,0.270484
nid001740,1,0.274323
nid003808,2,0.272749
nid001417,2,0.275382
nid001892,2,0.275647
nid002549,3,0.271356
nid001925,3,0.270948
