username,correlation,max
JobID,-0.5866913076673526,3298443.0
user_debk,0.5660697351748599,9922.0
user_irinarish,0.5502148406802049,208.0
user_aaryanbhagat,0.5479556823051278,176.0
user_sshanka,0.4897092100519243,120.0
user_tejasexpress,0.46263224596657504,192.0
user_tejasvaidhya,0.42656823321810583,192.0
user_sschnauck,0.41254627334168986,338.0
user_scf2157,0.3729931745607714,16.0
user_rzamora_med126_mde,0.35682192419716197,256.0
user_heehw,0.3334325839439594,96.0
user_jkirchen,0.31702096978479616,192.0
user_istabrak,0.30071524413266776,64.0
user_skhatua,0.29893457740512897,1024.0
user_nickmdav,0.29475760535869255,184.0
user_spencermoore,-0.2935096756694685,675.0
user_sauetest,-0.29313100056193037,3000.0
user_sbistany,-0.28673248945381213,20.0
user_mrieth,0.27989996441698717,64.0
user_sokyay,0.2583579872233149,165.0
user_kxu_sdsu,0.25647597085230744,57.0
user_lauraharbach,0.2551433229188109,4.0
user_g7h,0.25438645937832133,92.0
user_arpans,0.253456589555057,2304.0
user_lisayujingwei,0.24706817905611883,480.0
user_karls,0.23896809447704556,32.0
user_etjohnson,0.23716316683098404,12.0
user_wilson,0.23198954484545892,320.0
user_mjankous,0.23029771139379435,160.0
user_detar,0.2269612380827384,96.0
user_jyw,0.22435828310445616,756.0
user_wendyrw,-0.22429054619441222,896.0
user_xf9,-0.21627437672161084,64.0
user_emsi,0.21542113100353827,57.0
user_aflorenzon,0.21275221591171914,128.0
user_srinibasn,0.2119256824325081,4.0
user_novarios,-0.21044465637503249,1882.0
user_mdesco,-0.2069922477698872,54.0
user_jmgonza,0.20609367765923853,2500.0
user_eromero,0.2027713809824371,5054.0
user_wolf,0.20198434231058252,2800.0
user_sfilig,-0.1977611976252975,256.0
user_fikret,0.19648941781079343,4.0
user_arodas,0.19564418305255216,1976.0
user_nafinm,0.1953671445932886,10.0
user_kjung,0.1947558825124592,376.0
user_nkaaz,0.19457268705273548,12.0
user_nkouk,0.19367789540538796,32.0
user_keshprad,0.19310092858156014,472.0
user_dvelascogonzalez,-0.19304816904769417,256.0
avg_group_ratio,0.19217006065406753,2.4653532608695654
user_navratil,-0.1918999152251021,512.0
user_ozier,0.19172284941594125,512.0
user_maxidalinger,-0.19020222347469448,136.0
user_rahul29,0.18808726802949002,1650.0
user_jgeiping,0.18780487957817324,512.0
user_tpatinya,0.18780487957817324,2.0
user_boneill,0.18580766898466897,128.0
user_dsambit,0.18511169619663467,1140.0
user_loganwgillum,0.1846578520095849,2.0
user_wangvsa,0.184657852009584,10.0
min_group_ratio,0.18446495602587257,1.4609375
user_walksloud,0.18241875549047107,12.0
user_anikat1,-0.18214955008611114,8.0
user_acharyas,-0.18208266561885325,8.0
user_kgoc,-0.1819576263327379,1104.0
user_ahanlon,-0.18113593952087653,384.0
user_jubchoi,-0.18002630377604523,640.0
user_rmaqdisi,0.17797267484429605,184.0
user_wangli,0.17797267484429602,2055.0
user_xiaox,-0.17777765997265757,1000.0
user_mlynch,-0.17604533501339625,3888.0
user_adityaranjan,-0.17211909993415836,448.0
user_gopeshh,0.17205489028196286,32.0
all_users_alloc_nodes,0.1705849083570245,13689.0
user_maxpkatz,0.170262767738375,4.0
user_amanc,0.17026276773837443,40.0
user_pgrete,0.16930356130756014,1068.0
max_group_ratio,0.16911251077705175,2.640625
user_rjmorelock,0.16871044554843487,765.0
user_v8b,-0.16699569005020845,300.0
user_cmaffo,0.16607415176884022,3.0
user_rosendod,0.16532344729101295,2.0
user_mlupopa,0.16509252975191924,10.0
user_zb7,-0.16331871960276084,8.0
user_ddv0,-0.1622244032633733,3456.0
user_eslaught,0.1618239873760414,112.0
user_mvansch,-0.16110252545520068,876.0
user_esuchyta,-0.15967467645483235,2.0
user_gunaratnecs,0.15941709286737277,142.0
user_revanathan,0.1589613905858272,128.0
user_tpaul,0.1589613905858272,128.0
user_shalinijr,0.1589613905858272,4.0
user_emgreen,0.1589613905858272,2.0
user_jahatef,0.1589613905858272,2.0
total_concurrent_nodes,0.15795038756727092,9743.0
user_ywen,0.15409865421250957,80.0
user_dterzani,-0.15048059757772927,5200.0
user_waidmann,-0.15026676663393046,100.0
user_lrknox,0.15003065278594305,2.0
user_bcobb1,-0.14970283022480924,512.0
user_haas,0.14884540895604764,9.0
user_cemily,0.14759989498528903,888.0
user_lebars,0.1470872939298695,184.0
user_cuw,0.14583988402688727,8.0
user_vishalsu,0.145000866608725,64.0
user_hsu_andy,0.14374128304602155,2304.0
user_ridul,0.14156870570819874,1728.0
user_fzabaleta,0.14121247007800494,250.0
user_glaser,0.14033083836993895,768.0
user_pnathan6,-0.138935787329296,800.0
user_mhategan,0.13798302725983366,2.0
user_pauljanson002,-0.13591233729919217,40.0
user_arnoldjr,-0.13503268952323053,185.0
user_yuzhuang,-0.13482834079554817,1540.0
user_tijmen,-0.1341869119037279,256.0
user_atown,-0.13123031350215214,4250.0
user_hanby,0.13119887097970367,20.0
user_hyk1997,-0.1289367213264138,128.0
user_yanfei,-0.1284926068810377,2368.0
user_yoonh,-0.12726061418460793,100.0
user_mmin,0.1255167348112418,2.0
user_tajinder,-0.12536676865190308,12.0
user_cagonzal,-0.12458541047235519,23.0
user_kavanase,-0.12344689440201419,258.0
user_kannanr,-0.12188017861710729,2.0
user_phanim,-0.12188017861710729,32.0
user_cosdis,-0.11973690832774826,1000.0
user_asthana,0.11882901587553552,38.0
user_kakkapriyesh,0.11803143095124288,15.0
user_kalyang,-0.11781536892525128,128.0
user_bharathrn,0.1174860076664325,46.0
user_mayanka_med116_mde,-0.11684286869399262,200.0
user_ebelli,-0.11491948007985855,4224.0
user_pschoenh,-0.1131851809136914,175.0
user_fangjun,-0.11306011278710933,50.0
user_kayahan,0.1121584128671153,3840.0
user_ayushkaushal,0.11162326886921854,160.0
user_syeom,-0.11073047909973854,547.0
user_lukedaq,0.10994398435332656,190.0
user_nshineman,0.10957358972522999,2.0
user_ahmed97,0.10950952968653682,650.0
user_kmonika,-0.10839560948057286,11.0
user_ljh5914,0.10682918639875863,8.0
user_adebus,-0.10547821040278421,768.0
user_ccchen57,-0.10410188342100267,2.0
user_wentaoma,-0.10261796613398402,384.0
user_reubendb,-0.10166033628421065,44.0
user_fagbemisa,-0.09991330464342739,100.0
user_ddoshi,0.09831674637557784,32.0
user_wans,-0.09798239097393482,510.0
user_bebex,-0.09768105230225867,256.0
user_houjun,-0.09426546011191717,512.0
user_akaashrp,0.0927336754008286,4.0
user_tmaier,-0.09184298943502428,5000.0
user_jimyzhan,-0.09181901653424711,512.0
user_subil,0.09160685027103,1920.0
user_khuck,-0.09132936401385895,258.0
user_wuda,0.08930461021349187,2366.0
user_nizar17,0.08917106581134115,32.0
user_jg4,-0.08905823285431434,32.0
user_zcshr0863,0.0877631904854129,216.0
user_guzhuowei0407,-0.08728664679772122,8.0
user_mswu,0.08602942047902358,2.0
user_vsharma5,-0.08553827977671978,16.0
user_mayukaj,0.08519588079509781,48.0
user_syamamoto,0.08495173005922128,2.0
user_kaushikv,-0.084818155250525,2.0
user_moore279,-0.08434283666139307,1142.0
user_doraemonho,-0.0838246028781591,512.0
user_deveshawasthi10,-0.08372354856396678,1484.0
user_haoshen.yang,-0.08196296581115997,512.0
user_xswei,-0.08195574635006839,12.0
user_feizaguirre,-0.08095125823130461,72.0
user_mliska,-0.07986282650432257,652.0
user_kurihana,-0.07942017064905545,76.0
user_nmandell,0.0788123716120785,384.0
user_khalids,0.07877902652696306,128.0
user_jyc,-0.07809660385166008,5.0
user_pklai,-0.07763508484959152,2.0
user_junsik,-0.07752209215426423,3024.0
user_bagchi,-0.07707962310469997,1901.0
user_suyashb4,-0.07652467269755246,25.0
user_ssingh37,-0.07647305588189755,2144.0
user_adithyaraman95,0.07642138147704525,384.0
user_hyuan,0.07623412477260631,120.0
user_jtay621,-0.07579125203339059,368.0
user_muraligm,-0.07469353503642015,2.0
user_prajwal,-0.07459639345150756,2.0
user_kangil,-0.07435433561110567,10.0
user_vicente,0.07401656743613821,4.0
user_im3,0.07401656743613787,3.0
user_ramki,-0.07342033688585695,1250.0
user_rylieweaver,-0.07237259539163121,16.0
user_vaibhav_016,0.07232876557598308,288.0
user_fionacyu,0.07142275385025287,7936.0
user_vermaasj,-0.07127157799589387,728.0
user_chulwoo,-0.07112384634297678,144.0
user_matitov,-0.07097744120530526,270.0
user_acmetest,0.06875480037177426,6.0
user_nikhilk,-0.06512906546220847,16.0
user_xlopez,-0.06374076731929006,8000.0
user_rajan1,-0.06353249458732241,4752.0
user_brandao,0.06335848498404918,400.0
user_handih,-0.06295422149819906,34.0
user_jma6166,-0.06293308663893543,56.0
user_mbuehlmann,0.06257749102234016,496.0
user_eichsta,-0.061629751734785146,10.0
user_langx,0.06150894368840506,6.0
user_tdk23,0.060517954925683765,20.0
user_halx,-0.06022717683624468,2.0
user_manver,-0.060184810658049315,128.0
user_jkalinan,-0.05964522495130184,8.0
concurrent_nodes_in_same_group,0.05895558395602174,8076.0
user_nmarshak,-0.05891398879888137,128.0
user_jtavares,-0.05877868997411632,1080.0
user_morning,-0.05854646307720023,1152.0
user_tsatta,-0.05803588154930743,128.0
user_dmt-lp,-0.057573176672661,85.0
user_leonotis,0.05651124191727992,480.0
user_ylan,-0.05650977001913598,300.0
user_noel,-0.056253474475064714,256.0
user_sreejith,-0.055885395538235884,224.0
user_rbrady,0.05487538626809019,256.0
user_pmoesta,-0.054854662781156825,256.0
user_emin,-0.054447826791121826,128.0
user_samreen,-0.05415510603096289,256.0
user_ashwinaji,-0.054117590200437445,8.0
user_hagertnl,-0.053593438748031366,3136.0
user_junmin,-0.05355934952226011,128.0
user_mikem,0.053419438560889695,128.0
user_dcl3nd,0.053122967102574095,600.0
user_yhuang2,-0.052931303608154755,2.0
user_vwslz,-0.05244167328407914,1628.0
user_mjseneca,0.052397740134686774,52.0
user_souzar,-0.051931348434487504,4.0
user_kyrylobohachov,-0.051240215097512594,376.0
user_hannah6,-0.05040462591898857,576.0
user_vivek6sep,-0.050303226324655524,512.0
user_harshit,-0.050145774910495926,8.0
user_zingale,-0.04981703785922497,256.0
user_cdutra,-0.04932129879734435,52.0
user_jkhansell,-0.04788711718468099,4012.0
user_kiefera,-0.047468778778426104,384.0
user_shku,-0.0467402562548871,256.0
user_abdulg,0.04636978642105506,648.0
user_liangstein,-0.046107421412613106,200.0
user_khana,-0.046107421412613085,2.0
user_soumakb,-0.046107421412613085,4.0
user_mathieut,-0.046107421412613085,4.0
user_margaridarosa,0.0459929735096029,285.0
user_enzhi,-0.04531934034891919,512.0
user_lhatashita3,-0.04529521627097336,288.0
user_antonka,-0.044418888120518564,180.0
user_fbonaiti,-0.044324543279690494,2000.0
user_pkempski,0.04375598219410144,256.0
user_gabrielepadovani,-0.043105478443383624,12.0
user_espinda,0.0426007982831622,1056.0
user_tadie2,-0.0425276695118737,8.0
user_bsoriano,-0.042332645134882975,256.0
user_mcamacho,-0.042106557583557164,2300.0
user_cliu1,-0.04148350054975406,96.0
user_kimh310,-0.041434190358622294,374.0
user_csousa,-0.04107027731271448,150.0
